@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
9427,'2019/09/19 12:27:48:977',43,189.981033,290.064453,16.738678,199.776154,300.600037,18.774942,229.730927,289.604431,19.539967,270.127075,282.43866,19.214565,296.037292,275.548065,14.609779,0,0,0
9428,'2019/09/19 12:27:49:028',43,193.564743,283.864166,16.981125,203.267761,294.745697,19.015169,232.747879,283.503967,19.670919,272.960327,275.89386,19.409969,298.142761,269.737854,15.032261,0,0,0
9429,'2019/09/19 12:27:49:076',43,201.299286,275.610016,17.127277,210.842102,287.055725,19.13439,240.435318,275.843231,19.74287,281.037598,268.089539,19.716253,304.660767,262.062012,15.186737,0,0,0
9430,'2019/09/19 12:27:49:125',43,207.675278,265.026367,16.977791,217.052078,276.467773,19.270954,246.802444,265.182648,19.686041,288.158661,257.690918,19.676983,311.58316,253.526581,14.979923,0,0,0
9431,'2019/09/19 12:27:49:174',43,218.842972,250.75296,16.919193,229.298325,261.186707,19.419945,259.019836,250.202408,19.410831,301.909485,243.319061,19.424873,323.741364,241.838776,14.513275,0,0,0
9432,'2019/09/19 12:27:49:224',43,227.253647,243.016815,16.849941,238.349503,253.969788,19.383738,268.24408,243.862183,18.996208,313.532593,237.599152,18.98987,331.934814,238.113678,13.89172,0,0,0
9433,'2019/09/19 12:27:49:274',43,249.595993,229.215302,16.778946,262.524536,241.205139,19.258865,290.679932,232.321899,18.3972,338.382019,226.428436,18.326565,354.812256,229.904022,13.369865,0,0,0
9434,'2019/09/19 12:27:49:325',43,261.845764,219.350891,15.943356,268.910278,237.036774,19.008381,296.591675,228.768188,18.147003,344.23175,221.573486,18.467867,366.785126,224.737122,13.717712,0,0,0
9435,'2019/09/19 12:27:49:374',43,275.95047,215.301636,14.72377,286.131531,236.909515,18.028086,311.602112,228.218414,16.902512,362.410645,220.297028,17.012501,384.299774,221.918793,11.953297,0,0,0
9436,'2019/09/19 12:27:49:426',43,287.422485,213.010406,13.16407,300.108459,235.184601,16.310421,324.450684,226.852417,14.934696,379.83728,220.10202,14.632324,396.870361,221.447601,9.248775,0,0,0
